名称,热量,蛋白质,碳水,脂肪,类别,单位,标准量,说明
红烧肉,380.0,10.0,8.0,35.0,中餐,g,100,
糖醋排骨,280.0,12.0,15.0,18.0,中餐,g,100,
宫保鸡丁,160.0,10.0,10.0,9.0,中餐,g,100,
鱼香肉丝,150.0,7.0,12.0,8.0,中餐,g,100,
麻婆豆腐,120.0,6.0,8.0,8.0,中餐,g,100,
水煮鱼,240.0,15.0,8.0,16.0,中餐,g,100,
酸菜鱼,150.0,14.0,6.0,8.0,中餐,g,100,
番茄炒蛋,85.0,5.0,6.0,5.0,中餐,g,100,
青椒肉丝,120.0,8.0,5.0,7.0,中餐,g,100,
锅包肉,270.0,11.0,20.0,14.0,中餐,g,100,
白米饭,116.0,2.6,25.6,0.3,主食,g,100,
蛋炒饭,180.0,6.0,28.0,6.0,主食,g,100,
馒头,223.0,7.0,47.0,1.1,主食,个,1,
肉包子,227.0,8.5,28.0,8.6,主食,个,1,
小笼包,230.0,9.0,25.0,10.0,主食,个,3,
牛肉面,250.0,12.0,35.0,8.0,面食,碗,1,
炸酱面,230.0,8.0,35.0,8.0,面食,碗,1,
螺蛳粉,180.0,5.0,35.0,3.0,面食,碗,1,
意大利面,131.0,5.0,25.0,0.8,面食,g,100,
啤酒,43.0,0.5,3.5,0.0,酒类,ml,330,一瓶约330ml
精酿啤酒,60.0,1.0,5.0,0.0,酒类,ml,330,一瓶约330ml
黑啤,55.0,1.0,4.5,0.0,酒类,ml,330,一瓶约330ml
红酒,83.0,0.0,2.5,0.0,酒类,ml,150,一杯约150ml
白葡萄酒,82.0,0.0,2.5,0.0,酒类,ml,150,一杯约150ml
香槟,75.0,0.0,3.0,0.0,酒类,ml,150,一杯约150ml
白酒,231.0,0.0,0.1,0.0,酒类,ml,50,一小杯约50ml
伏特加,231.0,0.0,0.0,0.0,酒类,ml,50,一小杯约50ml
威士忌,250.0,0.0,0.1,0.0,酒类,ml,50,一小杯约50ml
朗姆酒,231.0,0.0,0.0,0.0,酒类,ml,50,一小杯约50ml
白兰地,240.0,0.0,0.1,0.0,酒类,ml,50,一小杯约50ml
金酒,263.0,0.0,0.0,0.0,酒类,ml,50,一小杯约50ml
龙舌兰,231.0,0.0,0.0,0.0,酒类,ml,50,一小杯约50ml
清酒,134.0,0.5,5.0,0.0,酒类,ml,180,一合约180ml
梅酒,150.0,0.0,15.0,0.0,酒类,ml,50,一小杯约50ml
黄酒,120.0,1.0,10.0,0.0,酒类,ml,100,一小碗约100ml
米酒,100.0,1.0,12.0,0.0,酒类,ml,100,一小碗约100ml
莫吉托,120.0,0.0,12.0,0.0,酒类,杯,1,一杯约250ml
长岛冰茶,220.0,0.0,15.0,0.0,酒类,杯,1,一杯约300ml
玛格丽特,140.0,0.0,10.0,0.0,酒类,杯,1,一杯约200ml
血腥玛丽,120.0,1.0,8.0,0.0,酒类,杯,1,一杯约250ml
鸡尾酒,150.0,0.5,10.0,0.0,酒类,杯,1,一杯约200-300ml
可乐,41.0,0.0,10.5,0.0,饮料,ml,330,一罐约330ml
零度可乐,0.5,0.0,0.0,0.0,饮料,ml,330,一罐约330ml
雪碧,42.0,0.0,10.8,0.0,饮料,ml,330,一罐约330ml
奶茶,65.0,1.5,10.0,2.0,饮料,ml,500,一杯约500ml
珍珠奶茶,80.0,1.0,15.0,2.0,饮料,ml,500,一杯约500ml
拿铁,50.0,3.0,5.0,2.0,饮料,ml,350,一杯约350ml
卡布奇诺,55.0,3.0,5.0,2.5,饮料,ml,350,一杯约350ml
美式咖啡,5.0,0.0,1.0,0.0,饮料,ml,350,一杯约350ml
橙汁,45.0,0.7,10.0,0.2,饮料,ml,250,一杯约250ml
西瓜汁,30.0,0.5,7.0,0.1,饮料,ml,250,一杯约250ml
牛排,250.0,25.0,0.0,17.0,西餐,g,200,
披萨,266.0,11.0,33.0,10.0,西餐,片,1,一片约100g
汉堡,250.0,12.0,30.0,10.0,西餐,个,1,
炸薯条,312.0,3.4,41.0,15.0,西餐,g,100,
冰淇淋,207.0,3.5,24.0,11.0,甜点,球,1,一球约80g
芝士蛋糕,380.0,6.0,40.0,22.0,甜点,片,1,一片约100g
巧克力,546.0,4.9,61.0,31.0,甜点,块,1,一小块约10g
